field,field_type,role,observed_dtype,range_or_levels,unique_count,missing_count,missing_pct,unit_or_scale,documented_meaning,quality_limitation,september_handling,purpose,inputs,derivation,version,owner
id,source,identifier,int64,1 to 587633,188318.0,0.0,0.0,N/A,Claim row identifier,None recorded in anomaly register,Integrity checks only; excluded from distribution and target-effect interpretation,,,,v1.0.0,Leng
cat11,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat12,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat13,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat14,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat15,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat16,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat17,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat18,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat19,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat20,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat21,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat22,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat23,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat24,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat25,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat26,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat27,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat28,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat29,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat30,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat31,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat32,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat33,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat34,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat35,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat36,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat37,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat38,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat39,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat40,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat41,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat42,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat43,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat44,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat45,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat46,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat47,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat48,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat49,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat50,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat51,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat52,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat53,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat54,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat55,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat56,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat57,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat58,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat59,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat60,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat61,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat62,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat63,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat64,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat65,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat66,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat67,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat68,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat69,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat70,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat71,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat72,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat73,source,categorical predictor,category label,A|B|C,3.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat74,source,categorical predictor,category label,A|B|C,3.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat75,source,categorical predictor,category label,A|B|C,3.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat76,source,categorical predictor,category label,A|B|C,3.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat77,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat78,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat79,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat80,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat81,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat82,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat83,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat84,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat85,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat86,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat87,source,categorical predictor,category label,A|B|C|D,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat88,source,categorical predictor,category label,A|B|D|E,4.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat89,source,categorical predictor,category label,A|B|C|D|E|G|H|I,8.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat90,source,categorical predictor,category label,A|B|C|D|E|F|G,7.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat91,source,categorical predictor,category label,A|B|C|D|E|F|G|H,8.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat92,source,categorical predictor,category label,A|B|C|D|F|H|I,7.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat93,source,categorical predictor,category label,A|B|C|D|E,5.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat94,source,categorical predictor,category label,A|B|C|D|E|F|G,7.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat95,source,categorical predictor,category label,A|B|C|D|E,5.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat96,source,categorical predictor,category label,A|B|C|D|E|F|G|I,8.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat97,source,categorical predictor,category label,A|B|C|D|E|F|G,7.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat98,source,categorical predictor,category label,A|B|C|D|E,5.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat99,source,categorical predictor,category label,C|D|E|F|G|H|I|J|K|M|N|O|P|R|S|T,16.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat100,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O,15.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat101,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O|Q|R|S|U,19.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat102,source,categorical predictor,category label,A|B|C|D|E|F|G|H|J,9.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat103,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|N,13.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat104,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O|P|Q,17.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat105,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O|P|Q|R|S|T,20.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat106,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O|P|R,17.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat107,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O|P|Q|R|S|U,20.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat108,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K,11.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat109,source,categorical predictor,category label,A|AA|AB|AE|AF|AG|AH|AI|AJ|AK|AL|AM|AN|AO|AP|AQ|AR|AS|AT|AU|AV|AW|AX|AY|B|BA|BB|BC|BD|BE|BF|BG|BH|BI|BJ|BK|BL|BM|BN|BO|BP|BQ|BR|BS|BT|BU|BV|BX|BY|C|CA|CB|CC|CD|CE|CF|CG|CH|CI|CJ|CK|CL|D|E|F|G|H|I|J|K|L|M|N|O|P|Q|R|S|T|U|V|X|Y|ZZ,84.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat110,source,categorical predictor,category label,A|AA|AB|AC|AD|AE|AF|AG|AH|AI|AJ|AK|AL|AM|AN|AO|AP|AR|AS|AT|AU|AV|AW|AX|AY|B|BA|BB|BC|BD|BE|BF|BG|BI|BJ|BK|BL|BM|BN|BO|BP|BQ|BR|BS|BT|BU|BV|BW|BX|BY|C|CB|CC|CD|CF|CG|CH|CI|CJ|CK|CL|CM|CN|CO|CP|CQ|CR|CS|CT|CU|CV|CW|CX|CY|D|DA|DB|DC|DD|DE|DF|DG|DH|DI|DJ|DK|DL|DM|DN|DO|DP|DQ|DR|DS|DT|DU|DV|DW|DX|DY|E|EA|EB|ED|EE|EF|EG|EH|EI|EJ|EK|EL|EM|G|H|I|J|K|L|N|O|P|Q|R|S|T|U|V|W|X|Y,131.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat111,source,categorical predictor,category label,A|B|C|D|E|F|G|I|K|M|O|Q|S|U|W|Y,16.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat112,source,categorical predictor,category label,A|AA|AB|AC|AD|AE|AF|AG|AH|AI|AJ|AK|AL|AM|AN|AO|AP|AQ|AR|AS|AT|AU|AV|AW|AX|AY|B|BA|C|D|E|F|G|H|I|J|K|L|M|N|O|P|Q|R|S|T|U|V|W|X|Y,51.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat113,source,categorical predictor,category label,A|AB|AC|AD|AE|AF|AG|AH|AI|AJ|AK|AL|AM|AN|AO|AP|AQ|AR|AS|AT|AU|AV|AW|AX|AY|B|BA|BB|BC|BD|BE|BF|BG|BH|BI|BJ|BK|BL|BM|BN|BO|C|E|F|G|H|I|J|K|L|M|N|O|P|Q|S|T|U|V|X|Y,61.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat114,source,categorical predictor,category label,A|B|C|D|E|F|G|I|J|L|N|O|Q|R|S|U|V|W|X,19.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat115,source,categorical predictor,category label,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O|P|Q|R|S|T|U|W|X,23.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat116,source,categorical predictor,category label,AA|AB|AC|AD|AE|AF|AG|AH|AJ|AK|AL|AM|AN|AO|AP|AR|AS|AT|AU|AV|AW|AX|AY|B|BA|BB|BC|BD|BF|BG|BI|BK|BL|BM|BO|BP|BQ|BS|BT|BU|BV|BW|BX|BY|C|CA|CB|CC|CD|CE|CF|CG|CH|CI|CJ|CK|CL|CM|CN|CO|CP|CQ|CR|CS|CT|CU|CV|CW|CX|CY|D|DA|DC|DD|DE|DF|DG|DH|DI|DJ|DK|DL|DM|DN|DO|DP|DQ|DR|DS|DT|DU|DV|DW|DX|DY|E|EA|EB|EC|ED|EE|EF|EG|EH|EI|EJ|EK|EL|EN|EO|EP|EQ|ES|EU|EV|EW|EY|F|FA|FB|FC|FD|FE|FF|FG|FH|FI|FJ|FK|FL|FM|FN|FO|FP|FQ|FR|FS|FT|FU|FV|FW|FX|G|GA|GB|GC|GD|GE|GF|GG|GH|GI|GJ|GK|GL|GM|GN|GO|GP|GQ|GR|GS|GT|GU|GV|GW|GX|GY|H|HA|HB|HC|HD|HE|HF|HG|HH|HI|HJ|HK|HL|HM|HN|HO|HP|HQ|HR|HT|HU|HV|HW|HX|HY|I|IA|IB|IC|ID|IE|IF|IG|IH|II|IJ|IK|IL|IM|IN|IO|IP|IQ|IR|IT|IU|IV|IX|IY|J|JA|JB|JC|JD|JE|JF|JG|JH|JI|JJ|JK|JL|JM|JN|JO|JP|JQ|JR|JT|JU|JV|JW|JX|JY|K|KA|KB|KC|KD|KE|KF|KG|KH|KI|KJ|KK|KL|KM|KN|KP|KQ|KR|KS|KT|KU|KV|KW|KX|KY|L|LA|LB|LC|LD|LE|LF|LG|LH|LI|LJ|LK|LL|LM|LN|LO|LQ|LR|LT|LU|LV|LW|LX|LY|M|MA|MB|MC|MD|ME|MF|MG|MH|MI|MJ|MK|ML|MM|MN|MO|MP|MQ|MR|MS|MT|MU|MV|MW|O|P|Q|R|S|T|U|V|W|X|Y,326.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cont1,source,continuous predictor,float64,1.6e-05 to 0.984975,647.0,0.0,0.0,Scaled 0 to 1; original unit unknown,Unknown,None recorded in anomaly register,Profile on delivered scale,,,,v1.0.0,Leng
cont2,source,continuous predictor,float64,0.001149 to 0.862654,33.0,0.0,0.0,Scaled 0 to 1; original unit unknown,Unknown,None recorded in anomaly register,Profile on delivered scale,,,,v1.0.0,Leng
cont3,source,continuous predictor,float64,0.002634 to 0.944251,76.0,0.0,0.0,Scaled 0 to 1; original unit unknown,Unknown,None recorded in anomaly register,Profile on delivered scale,,,,v1.0.0,Leng
cont4,source,continuous predictor,float64,0.176921 to 0.954297,112.0,0.0,0.0,Scaled 0 to 1; original unit unknown,Unknown,None recorded in anomaly register,Profile on delivered scale,,,,v1.0.0,Leng
cont5,source,continuous predictor,float64,0.281143 to 0.983674,141.0,0.0,0.0,Scaled 0 to 1; original unit unknown,Unknown,None recorded in anomaly register,Profile on delivered scale,,,,v1.0.0,Leng
