column_name,role,observed_dtype,unique_count,missing_count,missing_percentage,observed_min,observed_max,expected_scale
cat58,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat59,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat60,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat61,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat62,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat63,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat64,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat65,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat66,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat67,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat68,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat69,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat70,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat71,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat72,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat73,categorical_predictor,str,3,0,0.0,,,nominal categorical
cat74,categorical_predictor,str,3,0,0.0,,,nominal categorical
cat75,categorical_predictor,str,3,0,0.0,,,nominal categorical
cat76,categorical_predictor,str,3,0,0.0,,,nominal categorical
cat77,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat78,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat79,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat80,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat81,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat82,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat83,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat84,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat85,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat86,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat87,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat88,categorical_predictor,str,4,0,0.0,,,nominal categorical
cat89,categorical_predictor,str,8,0,0.0,,,nominal categorical
cat90,categorical_predictor,str,7,0,0.0,,,nominal categorical
cat91,categorical_predictor,str,8,0,0.0,,,nominal categorical
cat92,categorical_predictor,str,7,0,0.0,,,nominal categorical
cat93,categorical_predictor,str,5,0,0.0,,,nominal categorical
cat94,categorical_predictor,str,7,0,0.0,,,nominal categorical
cat95,categorical_predictor,str,5,0,0.0,,,nominal categorical
cat96,categorical_predictor,str,8,0,0.0,,,nominal categorical
cat97,categorical_predictor,str,7,0,0.0,,,nominal categorical
cat98,categorical_predictor,str,5,0,0.0,,,nominal categorical
cat99,categorical_predictor,str,16,0,0.0,,,nominal categorical
cat100,categorical_predictor,str,15,0,0.0,,,nominal categorical
cat101,categorical_predictor,str,19,0,0.0,,,nominal categorical
cat102,categorical_predictor,str,9,0,0.0,,,nominal categorical
cat103,categorical_predictor,str,13,0,0.0,,,nominal categorical
cat104,categorical_predictor,str,17,0,0.0,,,nominal categorical
cat105,categorical_predictor,str,20,0,0.0,,,nominal categorical
cat106,categorical_predictor,str,17,0,0.0,,,nominal categorical
cat107,categorical_predictor,str,20,0,0.0,,,nominal categorical
cat108,categorical_predictor,str,11,0,0.0,,,nominal categorical
cat109,categorical_predictor,str,84,0,0.0,,,nominal categorical
cat110,categorical_predictor,str,131,0,0.0,,,nominal categorical
cat111,categorical_predictor,str,16,0,0.0,,,nominal categorical
cat112,categorical_predictor,str,51,0,0.0,,,nominal categorical
cat113,categorical_predictor,str,61,0,0.0,,,nominal categorical
cat114,categorical_predictor,str,19,0,0.0,,,nominal categorical
cat115,categorical_predictor,str,23,0,0.0,,,nominal categorical
cat116,categorical_predictor,str,326,0,0.0,,,nominal categorical
cont1,continuous_predictor,float64,647,0,0.0,1.6e-05,0.984975,"[0, 1]"
cont2,continuous_predictor,float64,33,0,0.0,0.001149,0.862654,"[0, 1]"
cont3,continuous_predictor,float64,76,0,0.0,0.002634,0.944251,"[0, 1]"
cont4,continuous_predictor,float64,112,0,0.0,0.176921,0.954297,"[0, 1]"
cont5,continuous_predictor,float64,141,0,0.0,0.281143,0.983674,"[0, 1]"
cont6,continuous_predictor,float64,2573,0,0.0,0.012683,0.997162,"[0, 1]"
cont7,continuous_predictor,float64,5632,0,0.0,0.069503,1.0,"[0, 1]"
cont8,continuous_predictor,float64,201,0,0.0,0.23688,0.9802,"[0, 1]"
cont9,continuous_predictor,float64,347,0,0.0,8e-05,0.9954,"[0, 1]"
cont10,continuous_predictor,float64,174,0,0.0,0.0,0.99498,"[0, 1]"
cont11,continuous_predictor,float64,326,0,0.0,0.035321,0.998742,"[0, 1]"
cont12,continuous_predictor,float64,328,0,0.0,0.036232,0.998484,"[0, 1]"
cont13,continuous_predictor,float64,353,0,0.0,0.000228,0.988494,"[0, 1]"
cont14,continuous_predictor,float64,18740,0,0.0,0.179722,0.844848,"[0, 1]"
loss,regression_target,float64,158223,0,0.0,0.67,121012.25,positive continuous
