column_name,cardinality,most_common_level,least_common_level,most_common_level_support,least_common_level_support,most_common_level_share,min_level_support,median_level_support,levels_below_rare_threshold,rare_level_threshold,cardinality_group
cat6,2,A,B,131693,56625,0.6993118023768307,56625,94159.0,0,100,low
cat60,2,A,B,187872,446,0.9976316655869327,446,94159.0,0,100,low
cat61,2,A,B,187596,722,0.9961660595375906,722,94159.0,0,100,low
cat62,2,A,B,188273,45,0.9997610424919551,45,94159.0,1,100,low
cat63,2,A,B,188239,79,0.99958049681921,79,94159.0,1,100,low
cat64,2,A,B,188271,47,0.9997504221582643,47,94159.0,1,100,low
cat65,2,A,B,186056,2262,0.9879884025956096,2262,94159.0,0,100,low
cat66,2,A,B,179982,8336,0.9557344491763932,8336,94159.0,0,100,low
cat67,2,A,B,187626,692,0.996325364542954,692,94159.0,0,100,low
cat68,2,A,B,188176,142,0.9992459563079472,142,94159.0,0,100,low
cat69,2,A,B,188011,307,0.9983697787784492,307,94159.0,0,100,low
cat7,2,A,B,183744,4574,0.975711296848947,4574,94159.0,0,100,low
cat70,2,A,B,188295,23,0.9998778661625548,23,94159.0,1,100,low
cat71,2,A,B,178646,9672,0.9486400662708823,9672,94159.0,0,100,low
cat72,2,A,B,118322,69996,0.6283095614864219,69996,94159.0,0,100,low
cat73,3,A,C,154275,26,0.8192259900806084,26,34017.0,1,100,low
cat74,3,A,C,184731,26,0.9809524315253986,26,3561.0,1,100,low
cat75,3,A,C,154307,1,0.8193959154196625,1,34010.0,1,100,low
cat76,3,A,C,181347,788,0.9629828269204218,788,6183.0,0,100,low
cat77,4,D,A,187503,49,0.9956722140209645,49,383.0,1,100,low
cat78,4,B,D,186526,359,0.9904841810129674,359,716.5,0,100,low
cat79,4,B,C,152929,1668,0.8120785055066431,1668,16860.5,0,100,low
cat8,2,A,B,177274,11044,0.9413545173589354,11044,94159.0,0,100,low
cat80,4,D,A,137505,783,0.7301744920825413,783,25015.0,0,100,low
cat81,4,D,A,154385,788,0.819810108433607,788,16572.5,0,100,low
cat82,4,B,C,147536,2655,0.7834407757091728,2655,19063.5,0,100,low
cat83,4,B,C,141534,4958,0.7515691543028282,4958,20913.0,0,100,low
cat84,4,C,B,154939,431,0.822751940865982,431,16474.0,0,100,low
cat85,4,B,D,186005,514,0.987717584086492,514,899.5,0,100,low
cat86,4,B,A,103852,1589,0.551471447232872,1589,41438.5,0,100,low
cat87,4,B,A,166992,788,0.8867553818540979,788,10269.0,0,100,low
cat88,4,A,B,168926,7,0.8970252445331832,7,9692.5,2,100,low
cat89,8,A,G,183744,1,0.975711296848947,1,19.0,5,100,low
cat9,2,A,B,113122,75196,0.600696693890122,75196,94159.0,0,100,low
cat90,7,A,G,177993,2,0.9451725273208084,2,70.0,4,100,low
cat91,8,A,H,111028,26,0.5895772045157659,26,3774.5,2,100,low
cat92,7,A,F,124689,1,0.6621193937913529,1,62.0,4,100,low
cat93,5,D,A,150237,432,0.7977835363587124,432,1133.0,0,100,low
cat94,7,D,G,121642,20,0.6459393154132903,20,738.0,2,100,low
cat95,5,C,B,87531,109,0.46480421414840856,109,17417.0,0,100,low
cat96,8,E,I,174360,12,0.9258806911713165,12,1504.0,3,100,low
cat97,7,C,B,78127,34,0.4148674051338693,34,16745.0,1,100,low
cat98,5,A,B,105492,542,0.5601801208593974,542,21485.0,0,100,low
cat99,16,P,O,79455,3,0.42191930670461664,3,1868.0,5,100,high
